number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-09 02:57:06.751044,2025-10-09 02:58:41.833185,0 days 00:01:35.082141,"[640, 512, 384, 256]","[1, 2, 3, 4]","[True, False, True, False]","[0.0, 0.0, 0.0, 0.2]",prelu,96,decreasing,2,linear,512.0,5,0.002,,L2,4,AdamW,mean,True,1e-06,True
1,0.2715659444903268,COMPLETE,2025-10-09 02:58:41.836224,2025-10-09 02:58:57.175953,0 days 00:00:15.339729,"[64, 64]","[2, 4]","[True, True]","[0.0, 0.1]",relu,128,uniform,3,linear,,9,0.0002,0.5,minmax,2,SGD,last,True,1e-05,False
2,0.2140350877192982,PRUNED,2025-10-09 02:58:57.177971,2025-10-09 03:00:07.914754,0 days 00:01:10.736783,"[896, 768, 640]","[2, 3, 4]","[False, False, False]","[0.0, 0.0, 0.0]",hardswish,16,decreasing,2,linear,128.0,5,0.002,,L2,3,Adam,max,False,2e-06,False
3,0.2175904889576118,COMPLETE,2025-10-09 03:00:07.915760,2025-10-09 03:06:16.606028,0 days 00:06:08.690268,"[768, 640, 512]","[3, 4, 5]","[False, True, True]","[0.0, 0.0, 0.2]",silu,32,decreasing,3,linear,512.0,9,0.0001,,minmax,3,Adam,attention,False,2e-06,True
4,0.426157177674757,COMPLETE,2025-10-09 03:06:16.608047,2025-10-09 03:13:01.751370,0 days 00:06:45.143323,"[896, 768, 640]","[2, 4, 8]","[True, False, False]","[0.0, 0.2, 0.0]",silu,128,decreasing,2,pow2,512.0,9,1e-05,,L2,3,Adam,max,False,1e-06,False
5,0.2926860396494636,COMPLETE,2025-10-09 03:13:01.753376,2025-10-09 03:14:12.375635,0 days 00:01:10.622259,"[512, 384, 256]","[3, 4, 5]","[False, True, True]","[0.0, 0.2, 0.2]",elu,16,decreasing,2,linear,128.0,3,1e-05,,minmax,3,AdamW,max,False,5e-07,False
6,0.2164048865619546,PRUNED,2025-10-09 03:14:12.377635,2025-10-09 03:15:13.415459,0 days 00:01:01.037824,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[False, True, True, False, False]","[0.3, 0.3, 0.0, 0.0, 0.0]",gelu,64,decreasing,2,linear,128.0,2,0.0001,,minmax,5,AdamW,mean,True,1e-06,True
7,0.178030303030303,PRUNED,2025-10-09 03:15:13.417481,2025-10-09 03:15:20.243780,0 days 00:00:06.826299,"[384, 256]","[3, 6]","[False, False]","[0.0, 0.0]",gelu,96,decreasing,1,linear,128.0,3,0.0001,0.7000000000000001,minmax,2,SGD,attention,False,1e-05,True
8,0.2175904889576118,COMPLETE,2025-10-09 03:15:20.244786,2025-10-09 03:16:56.259993,0 days 00:01:36.015207,"[192, 256, 384, 512, 640]","[2, 4, 8, 16, 32]","[False, True, True, True, False]","[0.2, 0.2, 0.0, 0.0, 0.2]",gelu,64,increasing,2,pow2,128.0,5,0.0005,,minmax,5,AdamW,mean,True,0.0,True
9,0.2175904889576118,COMPLETE,2025-10-09 03:16:56.262007,2025-10-09 03:18:09.221788,0 days 00:01:12.959781,"[64, 96, 128, 192, 256, 384]","[1, 2, 4, 8, 16, 32]","[True, True, True, True, False, True]","[0.0, 0.2, 0.2, 0.2, 0.0, 0.0]",silu,32,increasing,2,pow2,,9,0.0005,,minmax,6,RMSprop,attention,False,1e-07,False
10,0.178030303030303,PRUNED,2025-10-09 03:18:09.224812,2025-10-09 03:18:53.791663,0 days 00:00:44.566851,[896],[2],[True],[0.3],mish,128,uniform,1,pow2,64.0,7,1e-05,,L2,1,Adam,max,False,2e-07,False
11,0.4657071042470107,COMPLETE,2025-10-09 03:18:53.792670,2025-10-09 03:20:08.194675,0 days 00:01:14.402005,"[384, 256, 192, 128]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.1, 0.1, 0.0]",elu,16,decreasing,1,pow2,256.0,3,1e-05,,L2,4,RMSprop,max,False,5e-07,False
12,0.0855855855855855,PRUNED,2025-10-09 03:20:08.196703,2025-10-09 03:20:18.150304,0 days 00:00:09.953601,"[384, 256, 192, 128]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.0, 0.0, 0.0]",leakyrelu,128,decreasing,1,pow2,256.0,3,0.001,,L2,4,RMSprop,max,False,5e-07,False
13,0.4313556990711573,COMPLETE,2025-10-09 03:20:18.151309,2025-10-09 03:21:29.017212,0 days 00:01:10.865903,"[384, 256, 192, 128, 96]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",elu,16,decreasing,1,pow2,256.0,7,1e-05,,L2,5,RMSprop,max,False,5e-07,False
14,0.2164048865619546,PRUNED,2025-10-09 03:21:29.019752,2025-10-09 03:22:27.669165,0 days 00:00:58.649413,"[256, 256, 256, 256, 256, 256]","[2, 4, 8, 16, 32, 64]","[True, False, False, False, True, False]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]",elu,16,uniform,1,pow2,256.0,7,1e-05,,L2,6,RMSprop,last,False,5e-07,False
15,0.1835114147252875,PRUNED,2025-10-09 03:22:27.670512,2025-10-09 03:23:00.917256,0 days 00:00:33.246744,"[192, 256, 384, 512, 640]","[1, 2, 4, 8, 16]","[True, False, False, False, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",elu,16,increasing,1,pow2,256.0,7,1e-05,,L2,5,RMSprop,max,False,5e-07,False
16,0.178030303030303,PRUNED,2025-10-09 03:23:00.918264,2025-10-09 03:23:28.884350,0 days 00:00:27.966086,"[384, 256, 192, 128]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.1, 0.0, 0.0]",elu,16,decreasing,1,pow2,256.0,2,0.001,,L2,4,RMSprop,max,False,5e-07,False
17,0.4264521063420745,COMPLETE,2025-10-09 03:23:28.885783,2025-10-09 03:24:26.894335,0 days 00:00:58.008552,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",elu,16,decreasing,1,pow2,256.0,3,0.0002,,L2,5,RMSprop,max,False,0.0,False
18,0.178030303030303,PRUNED,2025-10-09 03:24:26.897354,2025-10-09 03:25:18.527408,0 days 00:00:51.630054,"[96, 128, 192, 256, 384, 512]","[1, 2, 4, 8, 16, 32]","[True, False, False, True, True, True]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",leakyrelu,16,increasing,1,pow2,64.0,7,1e-05,,L2,6,RMSprop,last,True,1e-07,False
19,0.178030303030303,PRUNED,2025-10-09 03:25:18.528417,2025-10-09 03:27:28.360981,0 days 00:02:09.832564,"[896, 896, 896, 896]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.0, 0.0, 0.0]",hardswish,16,uniform,3,pow2,256.0,3,1e-05,,L2,4,RMSprop,max,False,2e-07,False
20,0.178030303030303,PRUNED,2025-10-09 03:27:28.362992,2025-10-09 03:27:44.668172,0 days 00:00:16.305180,"[384, 256, 192, 128, 96]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",prelu,96,decreasing,1,pow2,256.0,7,1e-05,0.0,L2,5,SGD,max,False,5e-07,False
21,0.4399794149781437,COMPLETE,2025-10-09 03:27:44.669676,2025-10-09 03:28:53.862940,0 days 00:01:09.193264,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",elu,16,decreasing,1,pow2,256.0,3,0.0002,,L2,5,RMSprop,max,False,0.0,False
22,0.2164048865619546,PRUNED,2025-10-09 03:28:53.865981,2025-10-09 03:29:34.587866,0 days 00:00:40.721885,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",elu,16,decreasing,1,pow2,256.0,3,0.0002,,L2,5,RMSprop,max,False,0.0,False
23,0.4201055841287073,COMPLETE,2025-10-09 03:29:34.587866,2025-10-09 03:30:19.314953,0 days 00:00:44.727087,"[256, 192, 128, 96]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.1, 0.0, 0.0]",elu,16,decreasing,1,pow2,256.0,3,0.0002,,L2,4,RMSprop,max,False,0.0,False
24,0.3555562446073054,COMPLETE,2025-10-09 03:30:19.316953,2025-10-09 03:31:32.410416,0 days 00:01:13.093463,"[512, 384, 256, 192, 128, 96]","[2, 4, 8, 16, 32, 64]","[True, False, False, False, True, False]","[0.0, 0.1, 0.0, 0.0, 0.1, 0.1]",mish,16,decreasing,1,pow2,256.0,3,0.0002,,L2,6,RMSprop,max,False,5e-07,False
25,0.178030303030303,PRUNED,2025-10-09 03:31:32.413433,2025-10-09 03:31:50.661630,0 days 00:00:18.248197,"[640, 512, 384, 256, 192]","[1, 2, 4, 8, 16]","[True, False, False, True, True]","[0.0, 0.1, 0.0, 0.1, 0.1]",relu,32,decreasing,1,pow2,,2,0.002,,L2,5,RMSprop,max,False,0.0,False
26,0.2175904889576118,COMPLETE,2025-10-09 03:31:50.663643,2025-10-09 03:32:14.954860,0 days 00:00:24.291217,"[256, 192, 128, 96]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.0, 0.0, 0.0]",elu,64,decreasing,1,pow2,64.0,7,0.001,,L2,4,RMSprop,attention,True,5e-07,True
27,0.21875,PRUNED,2025-10-09 03:32:14.956874,2025-10-09 03:32:45.093094,0 days 00:00:30.136220,"[512, 384, 256, 192, 128, 96]","[2, 4, 8, 16, 32, 64]","[True, False, False, False, True, False]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.0]",elu,16,decreasing,1,pow2,256.0,3,0.0005,,L2,6,RMSprop,mean,False,1e-07,False
28,0.3868953940016441,COMPLETE,2025-10-09 03:32:45.095095,2025-10-09 03:35:03.253433,0 days 00:02:18.158338,"[256, 384, 512, 640, 768]","[2, 4, 8, 16, 32]","[True, False, False, False, False]","[0.0, 0.2, 0.0, 0.0, 0.0]",elu,16,increasing,2,pow2,256.0,3,0.0002,0.0,L2,5,SGD,last,False,1e-05,False
29,0.178030303030303,PRUNED,2025-10-09 03:35:03.256472,2025-10-09 03:35:09.075332,0 days 00:00:05.818860,"[64, 64, 64, 64]","[2, 4, 8, 16]","[True, False, False, True]","[0.0, 0.0, 0.0, 0.0]",prelu,96,uniform,1,pow2,512.0,5,0.002,,L2,4,AdamW,mean,True,2e-07,True
30,0.178030303030303,PRUNED,2025-10-09 03:35:09.076338,2025-10-09 03:35:26.723776,0 days 00:00:17.647438,"[192, 128]","[1, 2]","[True, False]","[0.0, 0.0]",elu,16,decreasing,2,pow2,256.0,7,1e-05,,L2,2,RMSprop,max,False,2e-06,False
31,0.4402866699532728,COMPLETE,2025-10-09 03:35:26.724783,2025-10-09 03:36:44.009191,0 days 00:01:17.284408,"[640, 512, 384, 256, 192]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",elu,16,decreasing,1,pow2,256.0,3,0.0002,,L2,5,RMSprop,max,False,0.0,False
32,0.178030303030303,PRUNED,2025-10-09 03:36:44.011562,2025-10-09 03:37:42.174206,0 days 00:00:58.162644,"[640, 512, 384, 256, 192]","[2, 4, 8, 16, 32]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",relu,16,decreasing,1,pow2,256.0,3,0.0002,,L2,5,RMSprop,max,False,0.0,False
33,0.4401685882086403,COMPLETE,2025-10-09 03:37:42.175206,2025-10-09 03:39:05.458023,0 days 00:01:23.282817,"[640, 512, 384, 256]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.1, 0.0, 0.0]",elu,16,decreasing,1,pow2,,3,0.0002,,L2,4,RMSprop,max,False,0.0,False
34,0.4533440224535683,COMPLETE,2025-10-09 03:39:05.460526,2025-10-09 03:40:41.363073,0 days 00:01:35.902547,"[768, 640, 512, 384]","[1, 3, 5, 7]","[True, False, False, False]","[0.0, 0.1, 0.0, 0.0]",hardswish,16,decreasing,1,linear,,3,0.0002,,L2,4,RMSprop,max,False,0.0,False
35,0.0855855855855855,PRUNED,2025-10-09 03:40:41.366454,2025-10-09 03:42:04.250352,0 days 00:01:22.883898,"[768, 640, 512]","[1, 3, 5]","[False, True, False]","[0.0, 0.1, 0.0]",hardswish,32,decreasing,3,linear,,3,0.0002,,L2,3,Adam,max,False,0.0,False
36,0.0855855855855855,PRUNED,2025-10-09 03:42:04.251353,2025-10-09 03:42:19.750450,0 days 00:00:15.499097,"[640, 512, 384, 256]","[1, 3, 5, 7]","[True, False, False, False]","[0.0, 0.0, 0.0, 0.0]",hardswish,128,decreasing,1,linear,,3,0.0002,0.9,L2,4,SGD,last,True,0.0,False
